cayley,cayley
-10.57585620880127,-10.57585620880127
-15.797052383422852,-15.797052383422852
-17.399812698364258,-17.399812698364258
-19.525331497192383,-19.525331497192383
-32.268035888671875,-32.268035888671875
-42.158546447753906,-42.158546447753906
-43.30352783203125,-43.30352783203125
-45.00065994262695,-45.00065994262695
-58.899078369140625,-58.899078369140625
-59.0335693359375,-59.0335693359375
-59.341644287109375,-59.341644287109375
-59.81843566894531,-59.81843566894531
-61.32185745239258,-61.32185745239258
-62.367916107177734,-62.367916107177734
-62.728240966796875,-62.728240966796875
-63.049808502197266,-63.049808502197266
-63.48108673095703,-63.48108673095703
-63.987464904785156,-63.987464904785156
-64.50621032714844,-64.50621032714844
-65.01019287109375,-65.01019287109375
-65.40570068359375,-65.40570068359375
-65.75143432617188,-65.75143432617188
-66.06952667236328,-66.06952667236328
-66.3999252319336,-66.3999252319336
-66.76750946044922,-66.76750946044922
-67.10050964355469,-67.10050964355469
-67.44524383544922,-67.44524383544922
-67.7242660522461,-67.7242660522461
-67.9925765991211,-67.9925765991211
-68.28300476074219,-68.28300476074219
-68.54947662353516,-68.54947662353516
-68.8088607788086,-68.8088607788086
-69.07305908203125,-69.07305908203125
-69.32140350341797,-69.32140350341797
-69.53736114501953,-69.53736114501953
-69.74042510986328,-69.74042510986328
-69.93892669677734,-69.93892669677734
-70.1383056640625,-70.1383056640625
-70.321533203125,-70.321533203125
-70.48057556152344,-70.48057556152344
-70.6328125,-70.6328125
-70.78543090820312,-70.78543090820312
-70.93038177490234,-70.93038177490234
-71.06318664550781,-71.06318664550781
-71.20599365234375,-71.20599365234375
-71.33505249023438,-71.33505249023438
-71.44808197021484,-71.44808197021484
-71.55867767333984,-71.55867767333984
-71.66803741455078,-71.66803741455078
-71.77440643310547,-71.77440643310547
-71.88088989257812,-71.88088989257812
-71.98930358886719,-71.98930358886719
-72.09417724609375,-72.09417724609375
-72.19169616699219,-72.19169616699219
-72.28715515136719,-72.28715515136719
-72.3851318359375,-72.3851318359375
-72.48025512695312,-72.48025512695312
-72.56395721435547,-72.56395721435547
-72.64073944091797,-72.64073944091797
-72.71419525146484,-72.71419525146484
-72.78536224365234,-72.78536224365234
-72.85468292236328,-72.85468292236328
-72.92121124267578,-72.92121124267578
-72.98597717285156,-72.98597717285156
-73.04728698730469,-73.04728698730469
-73.10511016845703,-73.10511016845703
-73.15767669677734,-73.15767669677734
-73.20708465576172,-73.20708465576172
-73.254150390625,-73.254150390625
-73.29949188232422,-73.29949188232422
-73.34239959716797,-73.34239959716797
-73.38267517089844,-73.38267517089844
-73.42073822021484,-73.42073822021484
-73.45772552490234,-73.45772552490234
-73.49392700195312,-73.49392700195312
-73.52899169921875,-73.52899169921875
-73.56136322021484,-73.56136322021484
-73.59165954589844,-73.59165954589844
-73.62030792236328,-73.62030792236328
-73.64786529541016,-73.64786529541016
-73.67443084716797,-73.67443084716797
-73.70016479492188,-73.70016479492188
-73.72515869140625,-73.72515869140625
-73.74945068359375,-73.74945068359375
-73.77279663085938,-73.77279663085938
-73.794921875,-73.794921875
-73.81583404541016,-73.81583404541016
-73.83580017089844,-73.83580017089844
-73.85509490966797,-73.85509490966797
-73.87397003173828,-73.87397003173828
-73.89256286621094,-73.89256286621094
-73.91057586669922,-73.91057586669922
-73.92772674560547,-73.92772674560547
-73.94412231445312,-73.94412231445312
-73.96002197265625,-73.96002197265625
-73.97550201416016,-73.97550201416016
-73.99031066894531,-73.99031066894531
-74.00439453125,-74.00439453125
-74.017822265625,-74.017822265625
-74.03074645996094
